Time(s),PosX(m),PosY(m),VelX(m/s),VelY(m/s)
13.590,1719.896,1020.408,86.922,-10.306
13.600,1720.765,1020.304,86.890,-10.400
13.610,1721.633,1020.199,86.858,-10.494
13.620,1722.502,1020.093,86.827,-10.589
13.630,1723.370,1019.986,86.795,-10.683
13.640,1724.237,1019.878,86.764,-10.777
13.650,1725.105,1019.770,86.732,-10.871
13.660,1725.972,1019.660,86.700,-10.965
13.670,1726.838,1019.549,86.669,-11.059
13.680,1727.705,1019.438,86.637,-11.153
13.690,1728.571,1019.325,86.606,-11.247
13.700,1729.436,1019.212,86.574,-11.341
13.710,1730.302,1019.097,86.543,-11.435
13.720,1731.167,1018.982,86.512,-11.529
13.730,1732.032,1018.866,86.480,-11.623
13.740,1732.896,1018.749,86.449,-11.717
13.750,1733.760,1018.631,86.417,-11.811
13.760,1734.624,1018.512,86.386,-11.905
13.770,1735.488,1018.392,86.355,-11.998
13.780,1736.351,1018.271,86.323,-12.092
13.790,1737.214,1018.149,86.292,-12.186
13.800,1738.077,1018.026,86.261,-12.279
13.810,1738.939,1017.902,86.229,-12.373
13.820,1739.801,1017.778,86.198,-12.467
13.830,1740.663,1017.652,86.167,-12.560
13.840,1741.524,1017.526,86.136,-12.654
13.850,1742.385,1017.398,86.104,-12.747
13.860,1743.246,1017.270,86.073,-12.841
13.870,1744.106,1017.140,86.042,-12.934
13.880,1744.966,1017.010,86.011,-13.027
13.890,1745.826,1016.879,85.980,-13.121
13.900,1746.685,1016.747,85.949,-13.214
13.910,1747.545,1016.614,85.918,-13.307
13.920,1748.404,1016.480,85.887,-13.401
13.930,1749.262,1016.345,85.855,-13.494
13.940,1750.120,1016.209,85.824,-13.587
13.950,1750.978,1016.072,85.793,-13.680
13.960,1751.836,1015.934,85.762,-13.773
13.970,1752.693,1015.796,85.731,-13.866
13.980,1753.550,1015.656,85.700,-13.959
13.990,1754.407,1015.516,85.669,-14.052
14.000,1755.263,1015.374,85.638,-14.145
14.010,1756.119,1015.232,85.607,-14.238
14.020,1756.975,1015.088,85.577,-14.331
14.030,1757.831,1014.944,85.546,-14.424
14.040,1758.686,1014.799,85.515,-14.517
14.050,1759.541,1014.653,85.484,-14.610
14.060,1760.395,1014.506,85.453,-14.703
14.070,1761.249,1014.358,85.422,-14.795
14.080,1762.103,1014.209,85.391,-14.888
14.090,1762.957,1014.059,85.361,-14.981
14.100,1763.810,1013.908,85.330,-15.073
14.110,1764.663,1013.757,85.299,-15.166
14.120,1765.516,1013.604,85.268,-15.259
14.130,1766.368,1013.451,85.237,-15.351
14.140,1767.220,1013.296,85.207,-15.444
14.150,1768.072,1013.141,85.176,-15.536
14.160,1768.923,1012.985,85.145,-15.629
14.170,1769.775,1012.827,85.115,-15.721
14.180,1770.625,1012.669,85.084,-15.814
14.190,1771.476,1012.510,85.053,-15.906
14.200,1772.326,1012.350,85.023,-15.998
14.210,1773.176,1012.189,84.992,-16.091
14.220,1774.026,1012.027,84.961,-16.183
14.230,1774.875,1011.865,84.931,-16.275
14.240,1775.724,1011.701,84.900,-16.367
14.250,1776.573,1011.536,84.870,-16.459
14.260,1777.421,1011.371,84.839,-16.552
14.270,1778.269,1011.205,84.809,-16.644
14.280,1779.117,1011.037,84.778,-16.736
14.290,1779.964,1010.869,84.748,-16.828
14.300,1780.812,1010.700,84.717,-16.920
14.310,1781.658,1010.530,84.687,-17.012
14.320,1782.505,1010.359,84.656,-17.104
14.330,1783.351,1010.187,84.626,-17.196
14.340,1784.197,1010.014,84.595,-17.288
14.350,1785.043,1009.840,84.565,-17.379
14.360,1785.888,1009.665,84.534,-17.471
14.370,1786.733,1009.490,84.504,-17.563
14.380,1787.578,1009.313,84.474,-17.655
14.390,1788.422,1009.136,84.443,-17.747
14.400,1789.267,1008.957,84.413,-17.838
14.410,1790.110,1008.778,84.383,-17.930
14.420,1790.954,1008.598,84.352,-18.021
14.430,1791.797,1008.417,84.322,-18.113
14.440,1792.640,1008.234,84.292,-18.205
14.450,1793.483,1008.052,84.261,-18.296
14.460,1794.325,1007.868,84.231,-18.388
14.470,1795.167,1007.683,84.201,-18.479
14.480,1796.009,1007.497,84.171,-18.571
14.490,1796.850,1007.311,84.140,-18.662
14.500,1797.691,1007.123,84.110,-18.753
14.510,1798.532,1006.935,84.080,-18.845
14.520,1799.373,1006.745,84.050,-18.936
14.530,1800.213,1006.555,84.020,-19.027
14.540,1801.053,1006.364,83.989,-19.118
14.550,1801.892,1006.172,83.959,-19.210
14.560,1802.731,1005.979,83.929,-19.301
14.570,1803.570,1005.785,83.899,-19.392
14.580,1804.409,1005.590,83.869,-19.483
14.590,1805.248,1005.394,83.839,-19.574
14.600,1806.086,1005.197,83.809,-19.665
14.610,1806.923,1005.000,83.779,-19.756
14.620,1807.761,1004.801,83.749,-19.847
14.630,1808.598,1004.602,83.719,-19.938
14.640,1809.435,1004.402,83.689,-20.029
14.650,1810.272,1004.201,83.659,-20.120
14.660,1811.108,1003.998,83.629,-20.211
14.670,1811.944,1003.795,83.599,-20.302
14.680,1812.780,1003.592,83.569,-20.392
14.690,1813.615,1003.387,83.539,-20.483
14.700,1814.450,1003.181,83.509,-20.574
14.710,1815.285,1002.974,83.479,-20.665
14.720,1816.119,1002.767,83.449,-20.755
14.730,1816.953,1002.558,83.419,-20.846
14.740,1817.787,1002.349,83.389,-20.936
14.750,1818.621,1002.139,83.359,-21.027
14.760,1819.454,1001.927,83.329,-21.118
14.770,1820.287,1001.715,83.300,-21.208
14.780,1821.120,1001.502,83.270,-21.299
14.790,1821.952,1001.289,83.240,-21.389
14.800,1822.784,1001.074,83.210,-21.479
14.810,1823.616,1000.858,83.180,-21.570
14.820,1824.448,1000.641,83.150,-21.660
14.830,1825.279,1000.424,83.121,-21.750
14.840,1826.110,1000.206,83.091,-21.841
14.850,1826.941,999.986,83.061,-21.931
14.860,1827.771,999.766,83.031,-22.021
14.870,1828.601,999.545,83.002,-22.111
14.880,1829.431,999.323,82.972,-22.201
14.890,1830.260,999.100,82.942,-22.292
14.900,1831.089,998.876,82.913,-22.382
14.910,1831.918,998.651,82.883,-22.472
14.920,1832.746,998.426,82.853,-22.562
14.930,1833.575,998.199,82.824,-22.652
14.940,1834.403,997.972,82.794,-22.742
14.950,1835.230,997.744,82.764,-22.832
14.960,1836.058,997.514,82.735,-22.922
14.970,1836.885,997.284,82.705,-23.011
14.980,1837.711,997.053,82.675,-23.101
14.990,1838.538,996.821,82.646,-23.191
15.000,1839.364,996.588,82.616,-23.281
15.010,1840.190,996.355,82.587,-23.370
15.020,1841.015,996.120,82.557,-23.460
15.030,1841.841,995.885,82.528,-23.550
15.040,1842.666,995.648,82.498,-23.640
15.050,1843.490,995.411,82.468,-23.729
15.060,1844.315,995.173,82.439,-23.819
15.070,1845.139,994.934,82.409,-23.908
15.080,1845.963,994.694,82.380,-23.998
15.090,1846.786,994.453,82.350,-24.087
15.100,1847.609,994.211,82.321,-24.177
15.110,1848.432,993.968,82.292,-24.266
15.120,1849.255,993.725,82.262,-24.355
15.130,1850.077,993.480,82.233,-24.445
15.140,1850.899,993.235,82.203,-24.534
15.150,1851.721,992.989,82.174,-24.623
15.160,1852.543,992.742,82.144,-24.713
15.170,1853.364,992.494,82.115,-24.802
15.180,1854.185,992.245,82.086,-24.891
15.190,1855.005,991.995,82.056,-24.980
15.200,1855.825,991.744,82.027,-25.069
15.210,1856.645,991.493,81.998,-25.158
15.220,1857.465,991.240,81.968,-25.248
15.230,1858.284,990.987,81.939,-25.337
15.240,1859.103,990.733,81.910,-25.426
15.250,1859.922,990.477,81.880,-25.515
15.260,1860.741,990.221,81.851,-25.603
15.270,1861.559,989.965,81.822,-25.692
15.280,1862.377,989.707,81.792,-25.781
15.290,1863.195,989.448,81.763,-25.870
15.300,1864.012,989.188,81.734,-25.959
15.310,1864.829,988.928,81.705,-26.048
15.320,1865.646,988.667,81.675,-26.136
15.330,1866.462,988.404,81.646,-26.225
15.340,1867.278,988.141,81.617,-26.314
15.350,1868.094,987.877,81.588,-26.402
15.360,1868.910,987.612,81.558,-26.491
15.370,1869.725,987.346,81.529,-26.580
15.380,1870.540,987.080,81.500,-26.668
15.390,1871.355,986.812,81.471,-26.757
15.400,1872.169,986.544,81.442,-26.845
15.410,1872.983,986.274,81.413,-26.934
15.420,1873.797,986.004,81.383,-27.022
15.430,1874.611,985.733,81.354,-27.110
15.440,1875.424,985.461,81.325,-27.199
15.450,1876.237,985.188,81.296,-27.287
15.460,1877.050,984.914,81.267,-27.375
15.470,1877.862,984.640,81.238,-27.464
15.480,1878.674,984.364,81.209,-27.552
15.490,1879.486,984.088,81.180,-27.640
15.500,1880.297,983.811,81.151,-27.728
15.510,1881.109,983.532,81.122,-27.816
15.520,1881.920,983.253,81.093,-27.905
15.530,1882.730,982.974,81.064,-27.993
15.540,1883.540,982.693,81.035,-28.081
15.550,1884.351,982.411,81.005,-28.169
15.560,1885.160,982.128,80.976,-28.257
15.570,1885.970,981.845,80.947,-28.345
15.580,1886.779,981.561,80.918,-28.433
15.590,1887.588,981.275,80.889,-28.520
15.600,1888.396,980.989,80.861,-28.608
15.610,1889.205,980.702,80.832,-28.696
15.620,1890.013,980.415,80.803,-28.784
15.630,1890.821,980.126,80.774,-28.872
15.640,1891.628,979.836,80.745,-28.959
15.650,1892.435,979.546,80.716,-29.047
15.660,1893.242,979.254,80.687,-29.135
15.670,1894.049,978.962,80.658,-29.222
15.680,1894.855,978.669,80.629,-29.310
15.690,1895.661,978.375,80.600,-29.398
15.700,1896.467,978.080,80.571,-29.485
15.710,1897.272,977.785,80.542,-29.573
15.720,1898.077,977.488,80.514,-29.660
15.730,1898.882,977.191,80.485,-29.747
15.740,1899.687,976.892,80.456,-29.835
15.750,1900.491,976.593,80.427,-29.922
15.760,1901.295,976.293,80.398,-30.010
15.770,1902.099,975.992,80.369,-30.097
15.780,1902.902,975.690,80.340,-30.184
15.790,1903.705,975.387,80.312,-30.271
15.800,1904.508,975.084,80.283,-30.359
15.810,1905.310,974.779,80.254,-30.446
15.820,1906.113,974.474,80.225,-30.533
15.830,1906.915,974.168,80.196,-30.620
15.840,1907.716,973.861,80.168,-30.707
15.850,1908.518,973.553,80.139,-30.794
15.860,1909.319,973.244,80.110,-30.881
15.870,1910.120,972.934,80.081,-30.968
15.880,1910.920,972.624,80.053,-31.055
15.890,1911.720,972.312,80.024,-31.142
15.900,1912.520,972.000,79.995,-31.229
15.910,1913.320,971.687,79.967,-31.316
15.920,1914.119,971.373,79.938,-31.403
15.930,1914.918,971.058,79.909,-31.489
15.940,1915.717,970.742,79.880,-31.576
15.950,1916.516,970.426,79.852,-31.663
15.960,1917.314,970.108,79.823,-31.750
15.970,1918.112,969.790,79.794,-31.836
15.980,1918.910,969.470,79.766,-31.923
15.990,1919.707,969.150,79.737,-32.009
16.000,1920.504,968.829,79.708,-32.096
16.010,1921.301,968.508,79.680,-32.183
16.020,1922.097,968.185,79.651,-32.269
16.030,1922.894,967.861,79.623,-32.356
16.040,1923.690,967.537,79.594,-32.442
16.050,1924.485,967.212,79.565,-32.528
16.060,1925.281,966.885,79.537,-32.615
16.070,1926.076,966.558,79.508,-32.701
16.080,1926.870,966.231,79.480,-32.787
16.090,1927.665,965.902,79.451,-32.874
16.100,1928.459,965.572,79.422,-32.960
16.110,1929.253,965.242,79.394,-33.046
16.120,1930.047,964.910,79.365,-33.132
16.130,1930.840,964.578,79.337,-33.218
16.140,1931.633,964.245,79.308,-33.305
16.150,1932.426,963.911,79.280,-33.391
16.160,1933.219,963.577,79.251,-33.477
16.170,1934.011,963.241,79.223,-33.563
16.180,1934.803,962.904,79.194,-33.649
16.190,1935.594,962.567,79.166,-33.735
16.200,1936.386,962.229,79.137,-33.821
16.210,1937.177,961.890,79.109,-33.906
16.220,1937.968,961.550,79.080,-33.992
16.230,1938.758,961.209,79.052,-34.078
16.240,1939.548,960.867,79.023,-34.164
16.250,1940.338,960.525,78.995,-34.250
16.260,1941.128,960.182,78.966,-34.335
16.270,1941.917,959.837,78.938,-34.421
16.280,1942.706,959.492,78.909,-34.507
16.290,1943.495,959.146,78.881,-34.592
16.300,1944.284,958.800,78.852,-34.678
16.310,1945.072,958.452,78.824,-34.764
16.320,1945.860,958.104,78.795,-34.849
16.330,1946.648,957.754,78.767,-34.935
16.340,1947.435,957.404,78.739,-35.020
16.350,1948.222,957.053,78.710,-35.105
16.360,1949.009,956.701,78.682,-35.191
16.370,1949.795,956.348,78.653,-35.276
16.380,1950.582,955.995,78.625,-35.362
16.390,1951.368,955.640,78.597,-35.447
16.400,1952.153,955.285,78.568,-35.532
16.410,1952.939,954.929,78.540,-35.617
16.420,1953.724,954.572,78.512,-35.703
16.430,1954.509,954.214,78.483,-35.788
16.440,1955.293,953.855,78.455,-35.873
16.450,1956.078,953.495,78.427,-35.958
16.460,1956.862,953.135,78.398,-36.043
16.470,1957.645,952.774,78.370,-36.128
16.480,1958.429,952.412,78.342,-36.213
16.490,1959.212,952.049,78.313,-36.298
16.500,1959.995,951.685,78.285,-36.383
16.510,1960.777,951.320,78.257,-36.468
16.520,1961.559,950.955,78.228,-36.553
16.530,1962.341,950.588,78.200,-36.638
16.540,1963.123,950.221,78.172,-36.723
16.550,1963.905,949.853,78.143,-36.807
16.560,1964.686,949.484,78.115,-36.892
16.570,1965.467,949.114,78.087,-36.977
16.580,1966.247,948.744,78.059,-37.061
16.590,1967.028,948.372,78.030,-37.146
16.600,1967.808,948.000,78.002,-37.231
16.610,1968.587,947.627,77.974,-37.315
16.620,1969.367,947.253,77.946,-37.400
16.630,1970.146,946.878,77.917,-37.484
16.640,1970.925,946.502,77.889,-37.569
16.650,1971.703,946.126,77.861,-37.653
16.660,1972.482,945.748,77.833,-37.738
16.670,1973.260,945.370,77.805,-37.822
16.680,1974.038,944.991,77.776,-37.906
16.690,1974.815,944.611,77.748,-37.991
16.700,1975.592,944.230,77.720,-38.075
16.710,1976.369,943.849,77.692,-38.159
16.720,1977.146,943.466,77.664,-38.244
16.730,1977.922,943.083,77.635,-38.328
16.740,1978.698,942.699,77.607,-38.412
16.750,1979.474,942.314,77.579,-38.496
16.760,1980.249,941.928,77.551,-38.580
16.770,1981.025,941.541,77.523,-38.664
16.780,1981.800,941.154,77.494,-38.748
16.790,1982.574,940.766,77.466,-38.832
16.800,1983.349,940.377,77.438,-38.916
16.810,1984.123,939.987,77.410,-39.000
16.820,1984.897,939.596,77.382,-39.084
16.830,1985.670,939.204,77.354,-39.168
16.840,1986.443,938.811,77.326,-39.252
16.850,1987.216,938.418,77.298,-39.335
16.860,1987.989,938.024,77.269,-39.419
16.870,1988.762,937.629,77.241,-39.503
16.880,1989.534,937.233,77.213,-39.587
16.890,1990.305,936.836,77.185,-39.670
16.900,1991.077,936.439,77.157,-39.754
16.910,1991.848,936.040,77.129,-39.837
16.920,1992.619,935.641,77.101,-39.921
16.930,1993.390,935.241,77.073,-40.005
16.940,1994.161,934.840,77.045,-40.088
16.950,1994.931,934.439,77.017,-40.171
16.960,1995.701,934.036,76.989,-40.255
16.970,1996.470,933.633,76.960,-40.338
16.980,1997.240,933.228,76.932,-40.422
16.990,1998.009,932.823,76.904,-40.505
17.000,1998.777,932.417,76.876,-40.588
17.010,1999.546,932.011,76.848,-40.672
17.020,2000.314,931.603,76.820,-40.755
17.030,2001.082,931.195,76.792,-40.838
17.040,2001.850,930.786,76.764,-40.921
17.050,2002.617,930.376,76.736,-41.004
17.060,2003.384,929.965,76.708,-41.087
17.070,2004.151,929.553,76.680,-41.170
17.080,2004.917,929.140,76.652,-41.253
17.090,2005.684,928.727,76.624,-41.336
17.100,2006.450,928.313,76.596,-41.419
17.110,2007.215,927.898,76.568,-41.502
17.120,2007.981,927.482,76.540,-41.585
17.130,2008.746,927.065,76.512,-41.668
17.140,2009.511,926.648,76.484,-41.751
17.150,2010.275,926.230,76.456,-41.834
17.160,2011.039,925.810,76.428,-41.916
17.170,2011.803,925.390,76.400,-41.999
17.180,2012.567,924.970,76.372,-42.082
17.190,2013.331,924.548,76.344,-42.165
17.200,2014.094,924.125,76.316,-42.247
17.210,2014.857,923.702,76.288,-42.330
17.220,2015.619,923.278,76.260,-42.412
17.230,2016.382,922.853,76.232,-42.495
17.240,2017.144,922.427,76.204,-42.577
17.250,2017.905,922.001,76.176,-42.660
17.260,2018.667,921.573,76.149,-42.742
17.270,2019.428,921.145,76.121,-42.825
17.280,2020.189,920.716,76.093,-42.907
17.290,2020.950,920.286,76.065,-42.989
17.300,2021.710,919.855,76.037,-43.071
17.310,2022.470,919.424,76.009,-43.154
17.320,2023.230,918.991,75.981,-43.236
17.330,2023.989,918.558,75.953,-43.318
17.340,2024.749,918.124,75.925,-43.400
17.350,2025.508,917.689,75.897,-43.482
17.360,2026.266,917.254,75.869,-43.565
17.370,2027.025,916.817,75.841,-43.647
17.380,2027.783,916.380,75.814,-43.729
17.390,2028.541,915.942,75.786,-43.811
17.400,2029.298,915.503,75.758,-43.892
17.410,2030.056,915.063,75.730,-43.974
17.420,2030.813,914.623,75.702,-44.056
17.430,2031.569,914.181,75.674,-44.138
17.440,2032.326,913.739,75.646,-44.220
17.450,2033.082,913.296,75.618,-44.302
17.460,2033.838,912.852,75.591,-44.383
17.470,2034.594,912.408,75.563,-44.465
17.480,2035.349,911.962,75.535,-44.547
17.490,2036.104,911.516,75.507,-44.628
17.500,2036.859,911.069,75.479,-44.710
17.510,2037.613,910.621,75.451,-44.792
17.520,2038.368,910.172,75.423,-44.873
17.530,2039.121,909.723,75.396,-44.955
17.540,2039.875,909.272,75.368,-45.036
17.550,2040.629,908.821,75.340,-45.118
17.560,2041.382,908.369,75.312,-45.199
17.570,2042.135,907.916,75.284,-45.280
17.580,2042.887,907.463,75.256,-45.362
17.590,2043.639,907.008,75.229,-45.443
17.600,2044.391,906.553,75.201,-45.524
17.610,2045.143,906.097,75.173,-45.606
17.620,2045.895,905.640,75.145,-45.687
17.630,2046.646,905.182,75.117,-45.768
17.640,2047.397,904.724,75.090,-45.849
17.650,2048.147,904.265,75.062,-45.930
17.660,2048.898,903.804,75.034,-46.011
17.670,2049.648,903.344,75.006,-46.092
17.680,2050.397,902.882,74.978,-46.173
17.690,2051.147,902.419,74.951,-46.254
17.700,2051.896,901.956,74.923,-46.335
17.710,2052.645,901.492,74.895,-46.416
17.720,2053.394,901.027,74.867,-46.497
17.730,2054.142,900.561,74.840,-46.578
17.740,2054.890,900.094,74.812,-46.658
17.750,2055.638,899.627,74.784,-46.739
17.760,2056.386,899.159,74.756,-46.820
17.770,2057.133,898.690,74.728,-46.901
17.780,2057.880,898.220,74.701,-46.981
17.790,2058.627,897.749,74.673,-47.062
17.800,2059.373,897.278,74.645,-47.142
17.810,2060.119,896.806,74.617,-47.223
17.820,2060.865,896.333,74.590,-47.303
17.830,2061.611,895.859,74.562,-47.384
17.840,2062.356,895.384,74.534,-47.464
17.850,2063.101,894.909,74.507,-47.545
17.860,2063.846,894.433,74.479,-47.625
17.870,2064.591,893.955,74.451,-47.705
17.880,2065.335,893.478,74.423,-47.786
17.890,2066.079,892.999,74.396,-47.866
17.900,2066.822,892.520,74.368,-47.946
17.910,2067.566,892.039,74.340,-48.026
17.920,2068.309,891.558,74.312,-48.107
17.930,2069.052,891.076,74.285,-48.187
17.940,2069.794,890.594,74.257,-48.267
17.950,2070.537,890.110,74.229,-48.347
17.960,2071.279,889.626,74.202,-48.427
17.970,2072.020,889.141,74.174,-48.507
17.980,2072.762,888.655,74.146,-48.587
17.990,2073.503,888.168,74.118,-48.667
18.000,2074.244,887.681,74.091,-48.747
18.010,2074.985,887.193,74.063,-48.826
18.020,2075.725,886.704,74.035,-48.906
18.030,2076.465,886.214,74.008,-48.986
18.040,2077.205,885.723,73.980,-49.066
18.050,2077.944,885.232,73.952,-49.145
18.060,2078.684,884.739,73.925,-49.225
18.070,2079.423,884.246,73.897,-49.305
18.080,2080.161,883.752,73.869,-49.384
18.090,2080.900,883.258,73.842,-49.464
18.100,2081.638,882.762,73.814,-49.543
18.110,2082.376,882.266,73.786,-49.623
18.120,2083.113,881.769,73.759,-49.702
18.130,2083.851,881.271,73.731,-49.782
18.140,2084.588,880.773,73.703,-49.861
18.150,2085.324,880.273,73.676,-49.941
18.160,2086.061,879.773,73.648,-50.020
18.170,2086.797,879.272,73.620,-50.099
18.180,2087.533,878.770,73.593,-50.178
18.190,2088.269,878.268,73.565,-50.258
18.200,2089.004,877.764,73.537,-50.337
18.210,2089.739,877.260,73.510,-50.416
18.220,2090.474,876.755,73.482,-50.495
18.230,2091.208,876.249,73.454,-50.574
18.240,2091.943,875.743,73.427,-50.653
18.250,2092.677,875.236,73.399,-50.732
18.260,2093.410,874.728,73.371,-50.811
18.270,2094.144,874.219,73.344,-50.890
18.280,2094.877,873.709,73.316,-50.969
18.290,2095.610,873.198,73.289,-51.048
18.300,2096.343,872.687,73.261,-51.127
18.310,2097.075,872.175,73.233,-51.205
18.320,2097.807,871.662,73.206,-51.284
18.330,2098.539,871.149,73.178,-51.363
18.340,2099.270,870.634,73.150,-51.442
18.350,2100.001,870.119,73.123,-51.520
18.360,2100.732,869.603,73.095,-51.599
18.370,2101.463,869.086,73.068,-51.677
18.380,2102.193,868.569,73.040,-51.756
18.390,2102.924,868.050,73.012,-51.834
18.400,2103.653,867.531,72.985,-51.913
18.410,2104.383,867.011,72.957,-51.991
18.420,2105.112,866.491,72.930,-52.070
18.430,2105.841,865.969,72.902,-52.148
18.440,2106.570,865.447,72.874,-52.226
18.450,2107.299,864.924,72.847,-52.305
18.460,2108.027,864.400,72.819,-52.383
18.470,2108.755,863.875,72.792,-52.461
18.480,2109.482,863.350,72.764,-52.539
18.490,2110.210,862.824,72.736,-52.617
18.500,2110.937,862.297,72.709,-52.696
18.510,2111.664,861.769,72.681,-52.774
18.520,2112.390,861.241,72.654,-52.852
18.530,2113.116,860.711,72.626,-52.930
18.540,2113.842,860.181,72.598,-53.008
18.550,2114.568,859.650,72.571,-53.086
18.560,2115.293,859.119,72.543,-53.163
18.570,2116.019,858.586,72.516,-53.241
18.580,2116.744,858.053,72.488,-53.319
18.590,2117.468,857.519,72.461,-53.397
18.600,2118.192,856.984,72.433,-53.475
18.610,2118.917,856.449,72.405,-53.552
18.620,2119.640,855.913,72.378,-53.630
18.630,2120.364,855.376,72.350,-53.708
18.640,2121.087,854.838,72.323,-53.785
18.650,2121.810,854.299,72.295,-53.863
18.660,2122.533,853.760,72.268,-53.940
18.670,2123.255,853.219,72.240,-54.018
18.680,2123.977,852.679,72.212,-54.095
18.690,2124.699,852.137,72.185,-54.173
18.700,2125.421,851.594,72.157,-54.250
18.710,2126.142,851.051,72.130,-54.328
18.720,2126.863,850.507,72.102,-54.405
18.730,2127.584,849.962,72.075,-54.482
18.740,2128.304,849.417,72.047,-54.559
18.750,2129.024,848.870,72.020,-54.637
18.760,2129.744,848.323,71.992,-54.714
18.770,2130.464,847.775,71.964,-54.791
18.780,2131.183,847.226,71.937,-54.868
18.790,2131.902,846.677,71.909,-54.945
18.800,2132.621,846.127,71.882,-55.022
18.810,2133.340,845.576,71.854,-55.099
18.820,2134.058,845.024,71.827,-55.176
18.830,2134.776,844.472,71.799,-55.253
18.840,2135.494,843.918,71.772,-55.330
18.850,2136.211,843.364,71.744,-55.407
18.860,2136.928,842.809,71.717,-55.483
18.870,2137.645,842.254,71.689,-55.560
18.880,2138.362,841.697,71.662,-55.637
18.890,2139.078,841.140,71.634,-55.714
18.900,2139.794,840.582,71.607,-55.790
18.910,2140.510,840.024,71.579,-55.867
18.920,2141.226,839.464,71.552,-55.943
18.930,2141.941,838.904,71.524,-56.020
18.940,2142.656,838.343,71.496,-56.097
18.950,2143.370,837.781,71.469,-56.173
18.960,2144.085,837.219,71.441,-56.249
18.970,2144.799,836.656,71.414,-56.326
18.980,2145.513,836.092,71.386,-56.402
18.990,2146.226,835.527,71.359,-56.479
19.000,2146.940,834.961,71.331,-56.555
19.010,2147.653,834.395,71.304,-56.631
19.020,2148.366,833.828,71.276,-56.707
19.030,2149.078,833.260,71.249,-56.783
19.040,2149.790,832.691,71.221,-56.860
19.050,2150.502,832.122,71.194,-56.936
19.060,2151.214,831.552,71.166,-57.012
19.070,2151.925,830.981,71.139,-57.088
19.080,2152.636,830.409,71.111,-57.164
19.090,2153.347,829.837,71.084,-57.240
19.100,2154.058,829.264,71.056,-57.316
19.110,2154.768,828.690,71.029,-57.392
19.120,2155.478,828.115,71.001,-57.467
19.130,2156.188,827.540,70.974,-57.543
19.140,2156.897,826.964,70.946,-57.619
19.150,2157.606,826.387,70.919,-57.695
19.160,2158.315,825.809,70.891,-57.770
19.170,2159.024,825.231,70.864,-57.846
19.180,2159.732,824.651,70.836,-57.922
19.190,2160.440,824.071,70.809,-57.997
19.200,2161.148,823.491,70.781,-58.073
19.210,2161.856,822.909,70.754,-58.148
19.220,2162.563,822.327,70.726,-58.224
19.230,2163.270,821.744,70.699,-58.299
19.240,2163.977,821.160,70.671,-58.375
19.250,2164.683,820.576,70.644,-58.450
19.260,2165.389,819.990,70.617,-58.525
19.270,2166.095,819.404,70.589,-58.601
19.280,2166.801,818.818,70.562,-58.676
19.290,2167.506,818.230,70.534,-58.751
19.300,2168.211,817.642,70.507,-58.826
19.310,2168.916,817.053,70.479,-58.902
19.320,2169.621,816.463,70.452,-58.977
19.330,2170.325,815.873,70.424,-59.052
19.340,2171.029,815.281,70.397,-59.127
19.350,2171.732,814.689,70.369,-59.202
19.360,2172.436,814.096,70.342,-59.277
19.370,2173.139,813.503,70.314,-59.352
19.380,2173.842,812.909,70.287,-59.426
19.390,2174.545,812.314,70.259,-59.501
19.400,2175.247,811.718,70.232,-59.576
19.410,2175.949,811.121,70.204,-59.651
19.420,2176.651,810.524,70.177,-59.726
19.430,2177.352,809.926,70.149,-59.800
19.440,2178.053,809.327,70.122,-59.875
19.450,2178.754,808.728,70.095,-59.950
19.460,2179.455,808.128,70.067,-60.024
19.470,2180.155,807.527,70.040,-60.099
19.480,2180.855,806.925,70.012,-60.173
19.490,2181.555,806.322,69.985,-60.248
19.500,2182.255,805.719,69.957,-60.322
19.510,2182.954,805.115,69.930,-60.397
19.520,2183.653,804.511,69.902,-60.471
19.530,2184.352,803.905,69.875,-60.545
19.540,2185.050,803.299,69.847,-60.619
19.550,2185.749,802.692,69.820,-60.694
19.560,2186.447,802.084,69.793,-60.768
19.570,2187.144,801.476,69.765,-60.842
19.580,2187.842,800.867,69.738,-60.916
19.590,2188.539,800.257,69.710,-60.990
19.600,2189.236,799.646,69.683,-61.064
19.610,2189.932,799.035,69.655,-61.138
19.620,2190.628,798.423,69.628,-61.212
19.630,2191.324,797.810,69.600,-61.286
19.640,2192.020,797.196,69.573,-61.360
19.650,2192.716,796.582,69.546,-61.434
19.660,2193.411,795.967,69.518,-61.508
19.670,2194.106,795.351,69.491,-61.582
19.680,2194.800,794.734,69.463,-61.655
19.690,2195.495,794.117,69.436,-61.729
19.700,2196.189,793.499,69.408,-61.803
19.710,2196.883,792.880,69.381,-61.876
19.720,2197.576,792.261,69.353,-61.950
19.730,2198.269,791.641,69.326,-62.024
19.740,2198.962,791.020,69.299,-62.097
19.750,2199.655,790.398,69.271,-62.171
19.760,2200.347,789.775,69.244,-62.244
19.770,2201.040,789.152,69.216,-62.317
19.780,2201.732,788.528,69.189,-62.391
19.790,2202.423,787.904,69.161,-62.464
19.800,2203.114,787.278,69.134,-62.537
19.810,2203.806,786.652,69.106,-62.611
19.820,2204.496,786.025,69.079,-62.684
19.830,2205.187,785.398,69.052,-62.757
19.840,2205.877,784.770,69.024,-62.830
19.850,2206.567,784.141,68.997,-62.903
19.860,2207.257,783.511,68.969,-62.976
19.870,2207.946,782.880,68.942,-63.049
